ID	Сборник	НАЗВАНИЕ	ГОД	ТЕКСТ
11	МОЗАИКА - ПАРАБОЛА	ЕЛЕНА СЕРГЕЕВНА	1958	"Борька  — Любку, Чубук  — двух Мил, а он учителку полюбил! 
Елена Сергеевна, ах, она ... (Ленка по уши влюблена!) 
Елена Сергеевна входит в класс. («Милый!» —Ленка кричит из глаз.) 
Елена Сергеевна ведет урок. (Ленка, вспыхнув, крошит мелок.) 
Понимая, не понимая, точно в церкви или в кино, мы взирали, как над пеналами шло таинственное оно... 
И стоит она возле окон — чернокосая, синеокая, закусивши свой красный рот, белый табель его берет! 
Что им делать, таким двоим? Мы не ведаем, что творим. Педсоветы сидят: 
«Учтите, вы советский никак учитель! 
На Смоленской вас вместе вцдели...» Как возмездье, грядут родители. Ленка-хищница, Ленка-мразь, ты ребенка втоптала в грязь! 
«О спасибо моя учительница за твою высоту лучистую как сквозь первый ночной снежок я затверживал твой урок 
и сейчас как звон выручалочки из жемчужных уплывших стран окликает меня англичаночка — «проспишь алгебру, мальчуган...» 
Ленка, милая, Ленка — где? Ленка где-то в Алма-Ате. Ленку сшибли, как птицу влет... 
Елена Сергеевна водку пьет. "
12	МОЗАИКА - ПАРАБОЛА	ПОСЛЕДНЯЯ ЭЛЕКТРИЧКА	1958	"Мальчики с финками, девочки две контролерши заснувшими с фиксами, сфинксами. 
Я еду в этом тамбуре, спасаясь от жары, кругом гудят как в таборе гитары и воры. 
И как-то получилось, что я читал стихи между теней плечистых, окурков, шелухи. 
У них свои ремесла. А я читаю им, как девочка примерзла к окошкам ледяным. 
На черта им девчонка и рифм ассортимент? 
Таким, как эта —с челкой и пудрой в сантиметр?! 
Стоишь - черты спитые, на блузке видит взгляд всю дактилоскопию малаховских ребят. 
Чего ж ты плачешь бурно, и, вся от слез светла, мне шепчешь нецензурно чистейшие слова? 
И вдруг из электрички, ошеломив вагон, ты чище Беатриче сбегаешь на перрон! "
13	МОЗАИКА - ПАРАБОЛА	"""Сидишь беременная, бледная..."""	1957	"Сидишь беременная, бледная. Как ты переменилась, бедная. 
Сидишь, одергиваешь платьице, и плачется тебе, и плачется... 
За что нас только бабы балуют и губы, падая, дают, 
и выбегают за шлагбаумы, и от вагонов отстают? 
Как ты бежала за вагонами, глядела в полосы оконные... 
Стучат почтовые, курьерские, хабаровские, люберецкие... 
И от Москвы до Ашхабада, остолбенев до немоты, 
стоят как каменные бабы, луне подставив животы. 
И, поворачиваясь к свету, в ночном быту необжитом - 
как понимает их планета своим огромным животом. "
14	МОЗАИКА - ПАРАБОЛА	ПЕСНЯ ОФЕЛИИ	1957	"Мои дела — как сажа бела, была черноброва, светла была, да все добро свое раздала, 
миру по нитке —голая станешь, ивой поникнешь, горкой растаешь, мой Гамлет приходит с угарным дыханьем, пропахший бензином, чужими духами, как свечки, бокалы стоят вдоль стола, 
идут дела и рвут удила, уж лучше б на площадь, в чем мать родила, 
не крошка с Манежной, не мужу жена, а жизнь, как монетка, на решку легла, 
искала — орла, да вот не нашла... 
Мои дела — как зола —дотла. "
15	МОЗАИКА - ПАРАБОЛА	НА ПЛОТАХ	1958	"Нас несет Енисей. 
Как плоты над огромной и черной водой, я —ничей! 
Я —не твой, я —не твой, я —не твой! 
Ненавижу провал 
твоих губ, твои волосы, платье, жилье. Я плевал 
на святое и лживое имя твое! 
Ненавижу за ложь телеграмм и открыток твоих, 
ненавижу, как нож по ночам ненавидит живых, 
ненавижу твой шелк, проливные нейлоны гардин, 
мне нужнее мешок, чем холстина картин! 
Атаманша-тихоня телефон-автоматной Москвы, 
я страшон, как икона, почернел и опух от мошки. 
Блещет, точно сазан, 
голубая щека рыбака, 
«нет» —слезам. « Да » —мужским, продубленным рукам. 
«Да» - девчатам разбойным, купающим МАЗ, как коня, 
«да» —брандспойтам, сбивающим горе с меня. "
16	МОЗАИКА - ПАРАБОЛА	СИБИРСКИЕ БАНИ	1958	"Бани! Бани! Двери —хлоп! Бабы прыгают в сугроб. 
Прямо с пылу, прямо с жару — ну и ну! Слабовато Ренуару до таких сибирских «ню»! 
Что мадонны! Эти плечи, эти спины наповал, будто доменною печью запрокинутый металл. 
Задыхаясь от разбега, здесь на ты, на ты, на ты чистота огня и снега с чистотою наготы. 
День морозный, чистый, парный, мы стоим, четыре парня, — в полушубках, кровь с огнем, - как их шуткой 
шуганем! 
Ой, испугу! Ой, в избушку, как из пушки, во весь дух: - Ух! 
А одна в дверях задержится, за приступочку подержится и в соседа со смешком кинет 
кругленьким снежком! "
17	МОЗАИКА - ПАРАБОЛА	ОСЕНЬ	1959	"Утиных крыльев переплеск, и на тропинках заповедных последних паутинок блеск, последних спиц велосипедных. 
И ты примеру их последуй, случись проститься в дом последний. В том доме женщина живет и мужа к ужину не ждет. 
Она откинет мне щеколду, к тужурке припадет щекою, она, смеясь, протянет рот. И вдруг, погаснув, все поймет - поймет осенний зов полей, полет семян, распад семей... 
Озябшая и молодая, она подумает о том, 
что яблонька и та - с плодами, 
буренушка и та - с телком. 
Что бродит жизнь в дубовых дуплах, в полях, в домах, в лесах продутых, им - колоситься, токовать. Ей - голосить и тосковать. 
Как эти губы жарко шепчут: «Зачем мне руки, груди, плечи? К чему мне жить и печь топить и на работу выходить?» 
Ее я за плечи возьму - я сам не знаю, что к чему... А за окошком в юном инее лежат поля из алюминия. По ним - черны, по ним - седы, до железнодорожной линии протянутся мои следы. "
18	МОЗАИКА - ПАРАБОЛА	ТАЙГОЙ	1958	"Твои зубы смелы в них усмешка ножа 
и гудят как шмели золотые глаза! 
мы бредем от избушки нам трава до ушей ты пророчишь мне взбучку от родных и друзей 
ты отнюдь не монахиня хоть в округе - скиты бродят пчелы мохнатые нагибая цветы 
я не знаю - тайги я не знаю — семьи знаю только зрачки знаю - зубы твои 
на ромашках роса как в буддийских пиалах как она хороша в длинных мочках фиалок 
в каждой капельке-мочке отражаясь мигая ты дрожишь как Дюймовочка только кверху ногами 
ты — живая вода на губах на листке ты себя раздала всю до капли — тайге. "
19	МОЗАИКА - ПАРАБОЛА	СНОХАЧ	1960	"Загривок сохатый как карагач - невесткин: хахаль, снохач, снохач!.. 
Он шубу справил ей в ту весну. Он сына сплавил на Колыму. Он ночью стучит черпаком по бадье.  
А утром он в чайной подсядет 
ко мне, 
дыша перегаром, как листья в окне, и скажет мне: «Что ж я? Художник, утешь. Мне страшно, художник!.. 
И лампами капли висят в бороде! (Огромная осень, стара и юна, в неистово-синем сиянье окна.) 
Я сыну - отец...» И слезы стоят, как стакан первача, в неистово синих глазах снохача. "
20	МОЗАИКА - ПАРАБОЛА	ТОРГУЮТ АРБУЗАМИ	1956	"Москва завалена арбузами. Пахнуло волей без границ. И веет силой необузданной от возбужденных продавщиц. 
Палатки. Гвалт. Платки девчат. Хохочут. Сдачею стучат. Ножи и вырезок тузы. «Держи, хозяин, не тужи!» 
Кому кавун? Сейчас расколется! И так же сочны и вкусны милиционерские околыши и мотороллер у стены. 
И так же весело и свойски, как те арбузы у ворот — земля мотается в авоське 
меридианов и широт! "
21	МОЗАИКА - ПАРАБОЛА	ОСЕННИЙ ВОСКРЕСНИК	1953	"Кружатся опилки, груши И ЛИМОНЫ. Прямо 
на затылки падают балконы! 
Мимо этой сутолоки, ветра, листопада мчатся на полуторке ведра и лопаты. 
Над головоломной катастрофой 
мы летим в Коломну убирать картофель. 
Замотаем платьица, брючины засучим. Всадим заступ в задницы 
пахотам и кручам! "
22	МОЗАИКА - ПАРАБОЛА	"""По Суздалю, по Суздалю..."""	1958	"По Суздалю, по Суздалю сосулек, смальт — авоською с посудою несется март. 
И колокол над рынком мотается серьгой. Колхозницы — как кринки в машине грузовой. 
Я в городе бидонном, морозном, молодом. «Америку догоним по мясу с молоком!» 
Я счастлив, что я русский, так вижу, так живу. Я воздух, как краюшку морозную, жую. 
Весна над рыжей кручей, взяв снеговой рубеж, весна играет крупом и ржет как жеребец. 
А ржет она над критикой из толстого журнала, что видит во мне «скрытое посконное начало». "
23	МОЗАИКА - ПАРАБОЛА	ТБИЛИССКИЕ БАЗАРЫ	1958	"...носы на солнце лупятся, как живопись на фресках. 
Долой Рафаэля! Да здравствует Рубенс! Фонтаны форели, цветастая грубость! 
Здесь праздники в будни, арбы и арбузы. Торговки - как бубны, в браслетах и бусах. 
Индиго индеек. Вино и хурма. Ты нынче без денег? Пей задарма! 
Да здравствуют бабы, торговки салатом, под стать баобабам в четыре обхвата! 
Базары —пожары. Здесь огненно, молодо пылают загаром не руки, а золото. 
В них отблески масел и вин золотых. Да здравствует мастер, что выпишет их! "
24	МОЗАИКА - ПАРАБОЛА	"""Меня пугают формализмом..."""	1953	"Меня пугают формализмом. 
Как вы от жизни далеки, пропахнувшие формалином и фимиамом знатоки! В вас, может, есть и целина, но нет жемчужного зерна. 
Искусство мертвенно без искры, не столько Божьей, как людской, чтоб слушали бульдозеристы непроходимою тайгой. 
Им приходилось зло и солоно, но чтоб стояли, как сейчас, 
они - небритые, как солнце, и точно сосны - шелушась. И чтобы девочка-чувашка, смахнувши синюю слезу, смахнувши —чисто и чумазо, смахнувши - точно стрекозу, в ладоши хлопала раскатисто... 
Мне ради этого легки любых ругателей рогатины и яростные ярлыки. "
25	МОЗАИКА - ПАРАБОЛА	"""Вас за плечи держали..."""	1958	"Вас за плечи держали ручищи эполетов. Вы рвались и дерзали, гусары и поэты! 
И уносились ментики меж склонов-черепах, и полковые медики копались в черепах. 
Но снова мертвой петлею несутся до рассвета такие же отпетые шоферы и поэты! 
Их фары по спирали уходят в небосвод. Вы совесть потеряли. Куда нас занесет? "
26	МОЗАИКА - ПАРАБОЛА	ПРОТИВОСТОЯНИЕ ОЧЕЙ	1961	"Третий месяц ее хохот нарочит, третий месяц по ночам она кричит. А над нею, как сиянье, голося, вечерами 
разражаются Глаза! 
Пол-лица ошеломленное стекло вертикальными озерами зажгло. 
...Ты худеешь. Ты не ходишь на завод, ты их слушаешь, как лунный садовод, жизнь и боль твоя, как влага к облакам, поднимается к наполненным зрачкам. 
Говоришь: «Невыносима синева! И разламывает голова! Кто-то хищный и торжественно-чужой свет зажег и поселился на постой...» 
Ты грустишь — хохочут очи, как маньяк. Говоришь —они к аварии манят. Вместо слез — иллюминированный взгляд. «Симулирует», — соседи говорят. 
Ходят люди, как глухие этажи. Над одной горят глаза, как витражи. 
Сотни женщин их носили до тебя, сколько муки накопили для тебя! 
Раз в столетие касается 
людей это Противостояние Очей!.. 
...Возле моря отрешенно и отчаянно бродит женщина, беременна очами. 
Я под ними не бродил, за них жизнью заплатил. "
27	МОЗАИКА - ПАРАБОЛА	МАСТЕРСКИЕ НА ТРУБНОЙ	1957	"Дом на Трубной. В нем дипломники басят. Окна бубной жгут заснеженный фасад. Дому трудно. 
Раньше он соцреализма не видал в безыдейном заведенье у мадам. 
В нем мы чертим клубы, домны, но бывало, стены фрескою огромной сотрясало, 
шла империя вприпляс под венгерку, 
«феи» реяли меж нас фейерверком! 
Мы небриты как шинель. Мы шалели, отбиваясь от мамзель, от шанели, 
но упорны и умны, сжавши зубы, проектировали мы домны, клубы... 
Ах, куда вспорхнем с твоих авиаматок, Дом на Трубной, наш Парнас, альма-матер? 
Я взираю, онемев, на лекало — мне районный монумент 
кажет ноженьку лукаво! "
28	МОЗАИКА - ПАРАБОЛА	БАЛЛАДА ТОЧКИ	1958	"«Баллада? О точке?! О смертной пилюле?!» Балда! Вы забыли о пушкинской пуле! 
Что ветры свистали, как в дыры кларнетов, в пробитые головы лучших поэтов. 
Стрелою пронзив самодурство и свинство, к потомкам неслась траектория свиста! И не было точки. А было — начало. 
Мы в землю уходим, как в двери вокзала. И точка тоннеля, как дуло, черна... В бессмертье она? Иль в безвестность она?.. 
Нет смерти. Нет точки. Есть путь пулевой — вторая проекция той же прямой. 
В природе по смете отсутствует точка. Мы будем бессмертны. И это —точно! "
29	МОЗАИКА - ПАРАБОЛА	БАЛЛАДА РАБОТЫ	1958	"Петр Первый — пот первый... 
Не царский (от шубы, от баньки с музыкой), а радостный, 
грубый, мужицкий! 
От плотской забавы гудела спина, от плотницкой бабы, пилы, колуна. 
Аж в дуги сгибались дубы топорищ! Аж щепки вонзались в Стамбул и Париж! 
А он только крякал, упруг и упрям расставивши краги, как башенный кран. 
А где-то в Гааге духовный буян, бродяга отпетый, и нос, точно клубень — Петер? 
Рубенс?! 
А может, не Петер? А может, не Рубенс? Но жил среди петель рубинов и рубищ, 
где в страшных пучинах восстаний и путчей неслись капуцины как бочки с капустой. 
Его обнаженные идеалы бугрились, как стеганые одеяла. 
Дух жил в стройном гранде, как бюргер обрюзгший, и брюхо моталось 
мохнатою брюквой. 
Женившись на внучке, свихнувшись отчасти, он уши топорщил, как ручки от чашки. 
Дымясь волосами как будто над чаном, 
он думал. 
И все это было началом, началом, рождающим Савских 
и Саский... 
Бьет пот — олимпийский, 
торжественный, царский! 
Бьет пот (чтобы стать жемчугами 
Вирсавии). 
Бьет пот (чтоб сверкать сквозь фонтаны 
Версаля). 
Бьет пот, превращающий на века 
художника — в Бот, царя — в мужика! 
Вас эта высокая влага кропила, чело целовала и жгла, как крапива. Вы были как боги - рабы ремесла!.. 
В прилипшей ковбойке стою у стола. "
30	МОЗАИКА - ПАРАБОЛА	"""Ах, сыграй мне, Булат, полечку..."""	1961	"Ах, сыграй мне, Булат, полечку... Помнишь полечку, челку 
пчелочкой? 
Парой ласточек — раз, и нет! — чиркнут лодочки о паркет. 
Пава, панночка, парусок, как там тонешь наискосок? Мы прикручены по ночам к разным мчащимся поездам. 
Ах, осин номерок табельный! 
Ах, октябрь, ах, октябрь таборный! 
Отовсюду моя вина, как винтовка, глядит в меня:""Ах, забудь, забудь, не глупи, телевизор, что ли, купи""... 
Я живу в Каширском лесничестве. Рыб слежу. Либо снасть чиню. Только это мне — ни к чему. Пуст мой лес, и поля собраны. Гитарист бы сыграл — 
струны сорваны. "
31	МОЗАИКА - ПАРАБОЛА	"СИРЕНЬ ""МОСКВА - ВАРШАВА"""	1961	"11.III.61 Сирень прощается, сирень — как лыжница, 
сирень, как пудель, мне в щеки лижется! Сирень заревана, сирень — царевна, сирень пылает ацетиленом! 
Расул Гамзатов хмур как бизон. Расул Гамзатов сказал: «Свезем». 
12.III.61 
Расул упарился. Расул не спит. В купе купальщицей сирень дрожит. O, как ей боязно! Под низом колеса поезда — не чернозем. Наверно, в мае цвесть «красивей»... Двойник мой, магия, сирень, сирень, сирень как гений! Из всех одна на третьей скорости цветет она! 
Есть сто косулей — одна газель. Есть сто свистулек - одна свирель. Несовременно цвести в саду. Есть сто сиреней. Люблю одну. 
Ночные грозди гудят махрово, как микрофоны из мельхиора. 
У, дьявол-дерево! У всех мигрень. Как сто салютов, стоит сирень. 
13.III.61 
Таможник вздрогнул: «Живьем? В кустах?!» Таможник, ахнув, забыл устав. Ах, чувство чуда — седьмое чувство... 
Вокруг планеты зеленой люстрой, промеж созвездий и деревень 
свистит трассирующая 
сирень! Смешны ей — почва, трава, права... 
P. S. 
Читаю почту: «Сирень мертва». 
Р. Р. S. Черта с два! "
32	МОЗАИКА - ПАРАБОЛА	НОВОГОДНЕЕ ПИСЬМО В ВАРШАВУ	1961	"Когда под утро, точно магний, бледнеют лица в зеркалах и туалетною бумагой прозрачна пудра на щеках, 
как эти рожи постарели! 
Как хищно на салфетке в ряд, как будто раки на тарелке, их руки красные лежат! 
Ты бродишь среди этих блюдищ. Ты лоб свой о фужеры студишь. Ты шаль срываешь. Ты горишь. «В Варшаве душно», —говоришь. 
А у меня окно распахнуто в высотный город словно в сад 
и снег антоновкою пахнет и хлопья в воздухе висят 
они не движутся не падают ждут не шелохнутся легки 
внимательные как лампады или как летом табаки. 
Они немножечко качнутся, когда их ноженькой коснутся, одетой в польский сапожок. 
Пахнет яблоком снежок. "
33	МОЗАИКА - ПАРАБОЛА	"""Конфедераток тузы бесшабашные..."""	1961	"Конфедераток тузы бесшабашные кривы. Звезды вонзались, точно собашник в гривы! 
Польша — шампанское, танки палящая Польша! Ах, как банально —""Андрей и полячка"", пошло... 
Как я люблю ее еле смеженные веки, жарко и снежно, как сны — на мгновенье, навеки... 
Во поле русском, аэродромном во поле-полюшке вскинула рученьки к крыльям огромным — Польша! 
Сон? Богоматерь?.. 
Буфетчицы прыщут, зардев, — весь я в помаде, как будто абстрактный шедевр. "
34	МОЗАИКА - ПАРАБОЛА	СТОГА	1961	"Менестрель атомный, галстучек-шнурок... Полечка —мадонной? Как Нью-Йорк? 
Что ж, автолюбитель, ты рулишь к стогам, точно их обидел или болен сам? 
Как стада лосиные, 
спят стога. 
Полыхает Россия, голуба и строга. 
И чего-то не выразив, ты стоишь, человек, посреди телевизоров, небосклонов, телег. 
Там — аж волосы дыбом! — разожгли мастера исступленные нимбы, будто рефлектора. 
Там виденьем над сопками солнцу круглому вслед бабка в валенках стоптанных крутит велосипед... 
Я стою за стогами. Белый прутик стругаю. «Ах, оставьте, — смеюсь, — Я без вас разберусь!» 
Нас любили и крыли. Ты ж, Россия, одна, как подводные крылья, направляешь меня. "
35	МОЗАИКА - ПАРАБОЛА	"ЭПИТАФИЯ (""Брат, не загадывай на завтра!.."")"	1980	"Брат, не загадывай на завтра! «Автор умер», —думал Барт. «Умер Барт», — подумал автор. "
36	МОЗАИКА - ПАРАБОЛА	"""Мы писали историю..."""	1959	"Мы писали историю не пером —топором. Сколько мы понастроили деревень и хором. 
Пахнут стружкой фасады, срубы, башни, шатры. Сколько барских усадеб взято в те топоры! 
Сотрясай же основы! Куй, пока горячо. Мы последнего слова не сказали еще. 
Вздрогнут крыши и листья. И поляжет весь свет от трехпалого свиста межпланетных ракет. "
37	МОЗАИКА - ПАРАБОЛА	МОТОГОНКИ ПО ВЕРТИКАЛЬНОЙ СТЕНЕ	1960	"Завораживая, манежа, Краги — свищет женщина по манежу! красные, как клешни. 
Губы крашеные - грешны. Мчит торпедой горизонтальною, хризантему заткнув за талию! 
Ангел атомный, амазонка! Щеки вдавлены, как воронка. Мотоцикл над головой электрическою пилой. 
Надоело жить вертикально. Ах, дикарочка, дочь Икара... Обыватели и весталки вертикальны, как «ваньки- 
встаньки». 
В этой, взвившейся над зонтами, меж оваций, афиш, обид, сущность женщины горизонтальная 
мне мерещится и летит! 
Ах, как кружит ее орбита! Ах, как слезы к белкам прибиты! 
И тиранит ее Чингисхан — замдиректора Сингичанц... 
Сингичанц: «Ну, а с ней не мука? Тоже трюк - по стене, как муха... А вчера камеру проколола... 
Интриги... 
Пойду напишу по инстанции... 
И царапается, как конокрадка». 
Я к ней вламываюсь в антракте. «Научи, - говорю, - горизонту...» 
А она молчит, амазонка. А она головой качает. А ее еще трек качает. А глаза полны такой - горизонтальною 
тоской... "
